EPIC,Name_IAU,RAdeg,DEdeg,Other,Vmag,Ksmag_R16,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per_lit,vsini,Per_cat,dd,ddm,shch,beat,cpeak,resc,resd,dscu,cloud,Name_adopt,Ksmag_S16,(V-K),Mass,Mbol,Radius,Teff,Delmag,E(B-V)
210804191.0,035649.94+195549.6,59.20811,19.93047,,,12.01,5.1,1.0307,,,,0.062,LC1,best,,,single,yes,no,no,no,no,no,no,no,no,,12.0,5.1,0.37,8.88,0.48,3218.0,0.1,
211065006.0,035716.84+240033.2,59.32017,24.00923,DH851,12.79,9.94,2.74,7.2904,,,,0.112,LC3,best,,,single,no,no,yes,no,no,no,no,no,no,DH851,9.93,2.74,0.78,6.37,0.78,4479.0,0.12,
211141632.0,035730.14+251646.9,59.37562,25.27971,,,11.61,4.37,2.6829,,,,0.031,LC1,best,,,single,no,no,no,no,no,no,no,no,no,,11.6,4.37,0.52,8.42,0.5,3496.0,-0.37,
210965709.0,035731.99+222600.2,59.38333,22.4334,DH852,,12.34,5.74,0.4095,,,,0.013,LC1,best,,,single,yes,no,no,no,no,no,no,no,no,DH852,12.33,5.74,0.22,9.25,0.45,3035.0,0.84,
211060969.0,035733.05+235647.4,59.38773,23.94652,UGCSJ035733.06+235647.0,,12.63,5.3,2.1843,,,,0.026,LC1,best,,,single,no,no,no,no,no,no,no,no,no,UGCSJ035733.06+235647.0,12.62,5.3,0.31,9.51,0.37,3155.0,-0.19,
211067702.0,035733.30+240311.4,59.38879,24.05319,PELS162,12.11,9.86,2.14,7.798,,,,0.021,LC4,best,,,multi,no,no,no,yes,yes,no,no,no,no,PELS162,9.85,2.14,0.89,5.99,0.75,5013.0,-0.24,
210996915.0,035734.59+225532.7,59.39414,22.92576,DH854,13.88,10.64,3.13,8.9066,,,,0.013,LC4,ok,,,multi,no,no,no,yes,yes,no,no,no,no,DH854,10.63,3.13,0.72,7.2,0.62,4162.0,-0.36,
211000740.0,035735.25+225908.3,59.39689,22.98566,,,11.65,5.05,0.9594,,,,0.047,LC2,best,,,single,no,no,no,no,no,no,no,no,no,,11.64,5.05,0.38,8.52,0.56,3234.0,0.38,
211059949.0,035736.07+235552.4,59.40031,23.93124,HHJ439,14.78,10.77,3.9,1.6758,,,,0.045,LC2,best,,,single,no,no,yes,no,no,no,no,no,no,HHJ439,10.76,3.9,0.59,7.51,0.67,3715.0,0.1,
211140995.0,035740.66+251604.3,59.41944,25.26788,DH856,16.64,11.82,4.71,1.4233,,,,0.026,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH856,11.81,4.71,0.44,8.66,0.49,3357.0,-0.16,
