mass	age	Teff	logg	logL
0.055	0.7156600000000001	1767.0	5.207000000000001	-4.09
0.055	0.80881	1708.0	5.221	-4.17
0.06	0.00103	2887.0	3.5789999999999997	-1.57
0.06	0.00115	2887.0	3.582	-1.58
0.06	0.00131	2887.0	3.5869999999999997	-1.58
0.06	0.00145	2887.0	3.592	-1.59
0.06	0.00159	2887.0	3.597	-1.59
0.06	0.0018	2887.0	3.605	-1.6
0.06	0.00201	2887.0	3.615	-1.61
0.06	0.00225	2887.0	3.627	-1.62
0.06	0.00253	2886.0	3.645	-1.64
0.06	0.00282	2886.0	3.6689999999999996	-1.67
0.06	0.00316	2887.0	3.707	-1.7
0.06	0.00355	2888.0	3.762	-1.76
0.06	0.004	2889.0	3.824	-1.82
0.06	0.00449	2890.0	3.88	-1.87
0.06	0.00503	2889.0	3.93	-1.92
0.06	0.0056700000000000006	2887.0	3.9810000000000003	-1.98
0.06	0.00635	2885.0	4.026	-2.02
0.06	0.00715	2885.0	4.072	-2.07
0.06	0.00798	2885.0	4.114	-2.11
0.06	0.00895	2884.0	4.155	-2.15
0.06	0.01006	2883.0	4.196000000000001	-2.19
0.06	0.01133	2883.0	4.237	-2.24
0.06	0.012620000000000001	2881.0	4.273	-2.27
0.06	0.014280000000000001	2880.0	4.315	-2.31
0.06	0.01596	2878.0	4.351	-2.35
0.06	0.01787	2875.0	4.387	-2.39
0.06	0.020040000000000002	2873.0	4.423	-2.43
0.06	0.0225	2869.0	4.459	-2.47
0.06	0.0253	2864.0	4.495	-2.5
0.06	0.0285	2856.0	4.532	-2.55
0.06	0.03167	2846.0	4.563	-2.58
0.06	0.03581	2835.0	4.599	-2.63
0.06	0.039939999999999996	2825.0	4.63	-2.66
0.06	0.04534	2811.0	4.666	-2.71
0.06	0.050710000000000005	2798.0	4.697	-2.75
0.06	0.05678	2782.0	4.728	-2.79
0.06	0.06362999999999999	2764.0	4.7589999999999995	-2.83
0.06	0.0714	2744.0	4.789	-2.87
0.06	0.08023	2723.0	4.819	-2.92
0.06	0.09028	2699.0	4.849	-2.96
0.06	0.10166	2672.0	4.879	-3.01
0.06	0.11260999999999999	2647.0	4.904	-3.05
0.06	0.12703	2616.0	4.9319999999999995	-3.1
0.06	0.14359	2582.0	4.961	-3.15
0.06	0.15988	2549.0	4.985	-3.2
0.06	0.17853	2514.0	5.0089999999999995	-3.24
0.06	0.20002	2473.0	5.033	-3.3
0.06	0.22461	2429.0	5.0569999999999995	-3.35
0.06	0.25316	2380.0	5.08	-3.41
0.06	0.28597	2328.0	5.103	-3.47
0.06	0.3165	2284.0	5.122000000000001	-3.52
0.06	0.3574	2230.0	5.142	-3.59
0.06	0.40376999999999996	2176.0	5.162000000000001	-3.65
0.06	0.44705	2129.0	5.178	-3.7
0.06	0.50495	2072.0	5.196000000000001	-3.77
0.06	0.56938	2015.0	5.212999999999999	-3.83
0.06	0.64098	1956.0	5.229	-3.9
0.06	0.72127	1897.0	5.244	-3.97
0.06	0.79681	1848.0	5.256	-4.03
0.06	0.9002700000000001	1789.0	5.269	-4.1
0.06	1.00026	1739.0	5.28	-4.16
0.07	0.001	2920.0	3.5380000000000003	-1.45
0.07	0.0011300000000000001	2920.0	3.543	-1.45
0.07	0.0013	2921.0	3.55	-1.46
0.07	0.00144	2921.0	3.556	-1.46
0.07	0.0016	2921.0	3.5639999999999996	-1.47
0.07	0.0018	2921.0	3.575	-1.48
0.07	0.002	2922.0	3.588	-1.5
0.07	0.00225	2923.0	3.608	-1.52
0.07	0.00251	2923.0	3.635	-1.54
0.07	0.00282	2925.0	3.678	-1.58
0.07	0.00316	2928.0	3.735	-1.64
0.07	0.00358	2932.0	3.7969999999999997	-1.7
0.07	0.00398	2938.0	3.8480000000000003	-1.75
0.07	0.00447	2947.0	3.8989999999999996	-1.79
0.07	0.00504	2960.0	3.95	-1.83
0.07	0.00563	2977.0	3.9960000000000004	-1.87
0.07	0.00632	2979.0	4.043	-1.92
