mass	Teff	logg	logL	Age
0.950	5189.	4.438	-0.22	9.5
1.000	5355.	4.390	-0.09	9.5
1.050	5509.	4.336	0.03	9.5
1.100	5657.	4.281	0.16	9.5
1.150	5798.	4.228	0.27	9.5
1.200	5899.	4.152	0.39	9.5
1.300	5872.	4.026	0.55	9.5
0.072	1771.	5.415	-4.18	9.6
0.075	2009.	5.392	-3.92	9.6
0.080	2312.	5.350	-3.61	9.6
0.090	2640.	5.292	-3.27	9.6
0.100	2812.	5.251	-3.07	9.6
0.110	2920.	5.218	-2.93	9.6
0.130	3054.	5.169	-2.73	9.6
0.150	3151.	5.134	-2.58	9.6
0.175	3235.	5.098	-2.43	9.6
0.200	3292.	5.068	-2.31	9.6
0.250	3375.	5.017	-2.12	9.6
0.300	3436.	4.972	-1.97	9.6
0.350	3476.	4.935	-1.84	9.6
0.400	3522.	4.891	-1.72	9.6
0.450	3581.	4.849	-1.60	9.6
0.500	3648.	4.799	-1.47	9.6
0.570	3801.	4.730	-1.27	9.6
0.600	3890.	4.704	-1.18	9.6
0.620	3955.	4.687	-1.12	9.6
0.700	4231.	4.622	-0.89	9.6
0.750	4448.	4.592	-0.74	9.6
0.800	4640.	4.553	-0.60	9.6
0.850	4825.	4.511	-0.46	9.6
0.900	5020.	4.470	-0.33	9.6
0.950	5208.	4.424	-0.19	9.6
1.000	5375.	4.369	-0.06	9.6
1.050	5528.	4.307	0.07	9.6
1.100	5674.	4.245	0.20	9.6
1.150	5785.	4.180	0.31	9.6
1.200	5683.	4.070	0.41	9.6
0.072	1743.	5.421	-4.21	9.7
0.075	2003.	5.393	-3.93	9.7
0.080	2313.	5.350	-3.61	9.7
0.090	2641.	5.292	-3.27	9.7
0.100	2812.	5.251	-3.07	9.7
0.110	2921.	5.219	-2.93	9.7
0.130	3055.	5.169	-2.73	9.7
0.150	3151.	5.133	-2.58	9.7
0.175	3235.	5.097	-2.43	9.7
0.200	3292.	5.066	-2.31	9.7
0.250	3376.	5.013	-2.12	9.7
0.300	3436.	4.966	-1.96	9.7
0.350	3475.	4.929	-1.84	9.7
0.400	3522.	4.888	-1.71	9.7
0.450	3582.	4.847	-1.59	9.7
0.500	3649.	4.797	-1.46	9.7
0.570	3804.	4.728	-1.27	9.7
0.600	3893.	4.701	-1.18	9.7
0.620	3960.	4.684	-1.12	9.7
0.700	4239.	4.618	-0.88	9.7
0.750	4460.	4.586	-0.73	9.7
0.800	4654.	4.546	-0.59	9.7
0.850	4844.	4.500	-0.45	9.7
0.900	5044.	4.456	-0.31	9.7
0.950	5234.	4.403	-0.17	9.7
1.000	5399.	4.338	-0.02	9.7
1.050	5551.	4.266	0.12	9.7
1.100	5665.	4.188	0.25	9.7
1.150	5629.	4.102	0.34	9.7
0.072	1722.	5.425	-4.24	9.8
0.075	2001.	5.394	-3.93	9.8
0.080	2313.	5.350	-3.61	9.8
0.090	2641.	5.292	-3.27	9.8
0.100	2813.	5.251	-3.07	9.8
0.110	2921.	5.218	-2.93	9.8
0.130	3055.	5.169	-2.73	9.8
0.150	3151.	5.133	-2.58	9.8
0.175	3236.	5.097	-2.43	9.8
0.200	3292.	5.065	-2.31	9.8
0.250	3377.	5.008	-2.11	9.8
0.300	3436.	4.961	-1.96	9.8
0.350	3475.	4.924	-1.83	9.8
0.400	3522.	4.886	-1.71	9.8
0.450	3583.	4.845	-1.59	9.8
0.500	3650.	4.795	-1.46	9.8
0.570	3808.	4.725	-1.26	9.8
0.600	3898.	4.698	-1.17	9.8
0.620	3966.	4.681	-1.11	9.8
0.700	4250.	4.613	-0.87	9.8
0.750	4475.	4.579	-0.72	9.8
0.800	4672.	4.536	-0.57	9.8
0.850	4869.	4.487	-0.42	9.8
0.900	5075.	4.436	-0.28	9.8
0.950	5265.	4.373	-0.12	9.8
1.000	5429.	4.292	0.03	9.8
1.050	5548.	4.200	0.18	9.8
1.100	5490.	4.101	0.28	9.8
0.072	1707.	5.428	-4.26	9.9
0.075	2001.	5.394	-3.93	9.9
0.080	2314.	5.350	-3.61	9.9
0.090	2642.	5.292	-3.27	9.9
0.100	2813.	5.251	-3.07	9.9
0.110	2921.	5.218	-2.93	9.9
0.130	3056.	5.169	-2.73	9.9
0.150	3152.	5.133	-2.58	9.9
0.175	3237.	5.095	-2.43	9.9
0.200	3293.	5.062	-2.31	9.9
0.250	3378.	5.003	-2.11	9.9
0.300	3436.	4.955	-1.95	9.9
0.350	3475.	4.918	-1.83	9.9
0.400	3523.	4.884	-1.71	9.9
0.450	3583.	4.842	-1.59	9.9
0.500	3652.	4.792	-1.46	9.9
0.570	3812.	4.722	-1.26	9.9
0.600	3905.	4.694	-1.16	9.9
0.620	3973.	4.676	-1.10	9.9
0.700	4265.	4.606	-0.86	9.9
0.750	4495.	4.571	-0.70	9.9
0.800	4695.	4.522	-0.55	9.9
0.850	4900.	4.468	-0.39	9.9
0.900	5114.	4.408	-0.23	9.9
0.950	5303.	4.325	-0.06	9.9
1.000	5434.	4.217	0.11	9.9
