mass	Teff	logg	logL	Age
0.040	2761.	4.070	-2.32	6.9
0.050	2831.	4.098	-2.21	6.9
0.055	2859.	4.106	-2.16	6.9
0.060	2885.	4.114	-2.11	6.9
0.070	2973.	4.129	-2.01	6.9
0.072	2993.	4.135	-1.99	6.9
0.075	3008.	4.137	-1.96	6.9
0.080	3026.	4.138	-1.93	6.9
0.090	3058.	4.142	-1.86	6.9
0.100	3085.	4.139	-1.80	6.9
0.110	3108.	4.141	-1.75	6.9
0.130	3146.	4.138	-1.65	6.9
0.150	3183.	4.136	-1.56	6.9
0.175	3217.	4.131	-1.47	6.9
0.200	3244.	4.128	-1.40	6.9
0.250	3296.	4.121	-1.27	6.9
0.300	3343.	4.121	-1.16	6.9
0.350	3396.	4.121	-1.07	6.9
0.400	3451.	4.123	-0.98	6.9
0.450	3503.	4.122	-0.91	6.9
0.500	3554.	4.120	-0.83	6.9
0.570	3612.	4.124	-0.75	6.9
0.600	3636.	4.124	-0.72	6.9
0.620	3651.	4.124	-0.70	6.9
0.700	3707.	4.128	-0.62	6.9
0.750	3745.	4.125	-0.57	6.9
0.800	3782.	4.128	-0.53	6.9
0.850	3819.	4.127	-0.49	6.9
0.900	3860.	4.131	-0.45	6.9
0.950	3897.	4.128	-0.40	6.9
1.000	3971.	4.127	-0.35	6.9
1.050	4036.	4.132	-0.30	6.9
1.100	4092.	4.133	-0.26	6.9
1.150	4149.	4.131	-0.21	6.9
1.200	4206.	4.127	-0.17	6.9
1.300	4338.	4.113	-0.07	6.9
1.400	4501.	4.088	0.06	6.9
0.020	2489.	3.968	-2.70	7.0
0.030	2641.	4.100	-2.55	7.0
0.040	2749.	4.161	-2.42	7.0
0.050	2826.	4.184	-2.30	7.0
0.055	2856.	4.193	-2.24	7.0
0.060	2883.	4.196	-2.19	7.0
0.070	2968.	4.212	-2.09	7.0
0.072	2987.	4.218	-2.08	7.0
0.075	3006.	4.220	-2.05	7.0
0.080	3025.	4.220	-2.01	7.0
0.090	3059.	4.220	-1.94	7.0
0.100	3090.	4.218	-1.87	7.0
0.110	3112.	4.219	-1.82	7.0
0.130	3149.	4.211	-1.72	7.0
0.150	3186.	4.210	-1.64	7.0
0.175	3222.	4.206	-1.55	7.0
0.200	3251.	4.198	-1.46	7.0
0.250	3303.	4.196	-1.34	7.0
0.300	3345.	4.192	-1.23	7.0
0.350	3396.	4.191	-1.14	7.0
0.400	3451.	4.189	-1.05	7.0
0.450	3503.	4.192	-0.98	7.0
0.500	3555.	4.190	-0.90	7.0
0.570	3619.	4.193	-0.82	7.0
0.600	3645.	4.194	-0.78	7.0
0.620	3660.	4.193	-0.76	7.0
0.700	3719.	4.193	-0.68	7.0
0.750	3758.	4.195	-0.64	7.0
0.800	3795.	4.192	-0.59	7.0
0.850	3839.	4.192	-0.54	7.0
0.900	3882.	4.191	-0.50	7.0
0.950	3939.	4.188	-0.44	7.0
1.000	4011.	4.187	-0.39	7.0
1.050	4075.	4.187	-0.34	7.0
1.100	4142.	4.184	-0.29	7.0
1.150	4212.	4.178	-0.23	7.0
1.200	4291.	4.169	-0.18	7.0
1.300	4476.	4.142	-0.04	7.0
1.400	4707.	4.096	0.13	7.0
0.020	2476.	4.001	-2.74	7.1
0.030	2607.	4.199	-2.67	7.1
0.040	2733.	4.247	-2.51	7.1
0.050	2819.	4.265	-2.38	7.1
0.055	2852.	4.271	-2.32	7.1
0.060	2881.	4.273	-2.27	7.1
0.070	2964.	4.290	-2.17	7.1
0.072	2982.	4.296	-2.16	7.1
0.075	3003.	4.298	-2.13	7.1
0.080	3023.	4.298	-2.09	7.1
0.090	3058.	4.298	-2.02	7.1
0.100	3092.	4.297	-1.95	7.1
0.110	3117.	4.294	-1.89	7.1
0.130	3156.	4.290	-1.79	7.1
0.150	3192.	4.284	-1.71	7.1
0.175	3227.	4.276	-1.61	7.1
0.200	3259.	4.273	-1.54	7.1
0.250	3312.	4.267	-1.40	7.1
0.300	3352.	4.262	-1.30	7.1
0.350	3399.	4.257	-1.20	7.1
0.400	3451.	4.259	-1.12	7.1
0.450	3503.	4.261	-1.05	7.1
0.500	3554.	4.259	-0.97	7.1
0.570	3621.	4.263	-0.89	7.1
0.600	3648.	4.259	-0.85	7.1
0.620	3664.	4.263	-0.83	7.1
0.700	3728.	4.257	-0.74	7.1
0.750	3770.	4.257	-0.69	7.1
0.800	3811.	4.254	-0.64	7.1
0.850	3858.	4.250	-0.59	7.1
0.900	3913.	4.251	-0.54	7.1
0.950	3986.	4.244	-0.48	7.1
1.000	4060.	4.240	-0.42	7.1
1.050	4137.	4.235	-0.36	7.1
1.100	4224.	4.226	-0.30	7.1
1.150	4327.	4.215	-0.22	7.1
1.200	4433.	4.197	-0.15	7.1
1.300	4708.	4.145	0.04	7.1
1.400	5064.	4.044	0.30	7.1
0.020	2438.	4.065	-2.83	7.2
0.030	2570.	4.283	-2.78	7.2
0.040	2713.	4.327	-2.61	7.2
0.050	2811.	4.343	-2.46	7.2
0.055	2846.	4.348	-2.41	7.2
0.060	2878.	4.351	-2.35	7.2
0.070	2959.	4.367	-2.25	7.2
0.072	2976.	4.368	-2.23	7.2
0.075	3001.	4.371	-2.20	7.2
0.080	3021.	4.372	-2.16	7.2
0.090	3058.	4.371	-2.09	7.2
0.100	3092.	4.370	-2.02	7.2
0.110	3120.	4.368	-1.97	7.2
0.130	3164.	4.364	-1.86	7.2
0.150	3200.	4.357	-1.78	7.2
0.175	3234.	4.350	-1.68	7.2
0.200	3267.	4.343	-1.60	7.2
0.250	3323.	4.338	-1.47	7.2
0.300	3364.	4.329	-1.36	7.2
0.350	3408.	4.328	-1.27	7.2
0.400	3455.	4.329	-1.19	7.2
0.450	3505.	4.327	-1.11	7.2
0.500	3553.	4.328	-1.04	7.2
0.570	3619.	4.327	-0.95	7.2
0.600	3648.	4.328	-0.92	7.2
0.620	3665.	4.328	-0.89	7.2
0.700	3738.	4.322	-0.80	7.2
0.750	3784.	4.320	-0.75	7.2
0.800	3832.	4.312	-0.69	7.2
0.850	3886.	4.307	-0.63	7.2
0.900	3963.	4.301	-0.57	7.2
0.950	4048.	4.294	-0.50	7.2
1.000	4143.	4.286	-0.43	7.2
1.050	4248.	4.272	-0.35	7.2
1.100	4375.	4.255	-0.27	7.2
1.150	4515.	4.231	-0.17	7.2
1.200	4691.	4.198	-0.05	7.2
1.300	5111.	4.090	0.24	7.2
1.400	5733.	3.957	0.61	7.2
0.020	2337.	4.187	-3.03	7.3
0.030	2522.	4.362	-2.89	7.3
0.040	2687.	4.404	-2.70	7.3
0.050	2798.	4.419	-2.55	7.3
0.055	2838.	4.420	-2.48	7.3
0.060	2873.	4.423	-2.43	7.3
0.070	2952.	4.440	-2.33	7.3
0.072	2970.	4.442	-2.31	7.3
0.075	2995.	4.444	-2.28	7.3
0.080	3019.	4.445	-2.24	7.3
0.090	3058.	4.445	-2.16	7.3
0.100	3092.	4.443	-2.10	7.3
0.110	3121.	4.441	-2.04	7.3
0.130	3171.	4.434	-1.93	7.3
0.150	3209.	4.432	-1.85	7.3
0.175	3244.	4.424	-1.75	7.3
0.200	3279.	4.417	-1.67	7.3
0.250	3336.	4.408	-1.53	7.3
0.300	3381.	4.399	-1.42	7.3
0.350	3422.	4.398	-1.33	7.3
0.400	3464.	4.395	-1.25	7.3
0.450	3510.	4.397	-1.18	7.3
0.500	3554.	4.394	-1.11	7.3
0.570	3618.	4.392	-1.02	7.3
0.600	3648.	4.392	-0.98	7.3
0.620	3666.	4.389	-0.96	7.3
0.700	3750.	4.383	-0.86	7.3
0.750	3801.	4.376	-0.80	7.3
0.800	3864.	4.368	-0.73	7.3
0.850	3938.	4.357	-0.66	7.3
0.900	4039.	4.347	-0.58	7.3
0.950	4147.	4.332	-0.50	7.3
1.000	4287.	4.316	-0.40	7.3
1.050	4438.	4.292	-0.30	7.3
1.100	4627.	4.257	-0.17	7.3
1.150	4866.	4.211	-0.02	7.3
1.200	5126.	4.148	0.15	7.3
1.300	5834.	4.044	0.52	7.3
1.400	6255.	4.250	0.47	7.3
0.020	2219.	4.282	-3.21	7.4
0.030	2465.	4.430	-3.00	7.4
0.040	2658.	4.470	-2.79	7.4
0.050	2781.	4.487	-2.63	7.4
0.055	2826.	4.492	-2.56	7.4
0.060	2864.	4.495	-2.50	7.4
0.070	2942.	4.508	-2.40	7.4
0.072	2958.	4.514	-2.39	7.4
0.075	2983.	4.517	-2.36	7.4
0.080	3013.	4.518	-2.31	7.4
0.090	3054.	4.518	-2.24	7.4
0.100	3091.	4.517	-2.17	7.4
0.110	3122.	4.514	-2.11	7.4
0.130	3175.	4.507	-2.00	7.4
0.150	3220.	4.502	-1.91	7.4
0.175	3258.	4.493	-1.81	7.4
0.200	3295.	4.487	-1.73	7.4
0.250	3354.	4.478	-1.59	7.4
0.300	3404.	4.470	-1.48	7.4
0.350	3441.	4.465	-1.39	7.4
0.400	3479.	4.466	-1.31	7.4
0.450	3518.	4.463	-1.24	7.4
0.500	3558.	4.460	-1.17	7.4
0.570	3622.	4.457	-1.08	7.4
0.600	3651.	4.453	-1.04	7.4
0.620	3671.	4.452	-1.02	7.4
0.700	3768.	4.439	-0.91	7.4
0.750	3836.	4.427	-0.83	7.4
0.800	3914.	4.413	-0.76	7.4
0.850	4023.	4.396	-0.66	7.4
0.900	4165.	4.379	-0.56	7.4
0.950	4337.	4.355	-0.44	7.4
1.000	4539.	4.323	-0.31	7.4
1.050	4774.	4.278	-0.16	7.4
1.100	5087.	4.222	0.03	7.4
1.150	5410.	4.151	0.23	7.4
