EPIC,Name_IAU,RAdeg,DEdeg,Other,Vmag_x,Ksmag_R16,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per_lit,vsini,Per_cat,dd,ddm,shch,beat,cpeak,resc,resd,dscu,cloud,Name_adopt,Ksmag_S16,(V-K),Mass,Mbol,Radius,Teff,Delmag,E(B-V),Object_name,Vmag_y,rmag,Icmag,Kmag,T_VI,T_VK,T_rK,T_IK,Period,A_r,R_o,Tspec,RV,EWHa,D_EWHa,TiO2n,D_TiO2n,TiO5n,D_TiO5n,Tquiet,fs1,Tspot1,fs2,Tspot2,multi,Flag,RAJ2000,DEJ2000
211076650.0,034241.89+241158.3,55.67456,24.19953,SK671,14.5,10.53,3.86,4.8225,,,,0.061,LC3,best,4.78,,single,no,no,yes,no,no,no,no,no,no,SK671,10.52,3.86,0.6,7.26,0.75,3736.0,0.31,,Cl* Melotte 22 SK671,14.5,13.905,12.578,10.532,3859.82,3795.01,3805.75,3688.19,4.77791882,0.0704,0.15173,3889.78,8.09,2.1244,2.3156,0.8631,-0.0157,0.7877,0.0164,3859.82,0.175,3200.0,0.0,,0.0,1-1-1-1-1,55.674564000000004,24.199537
211023167.0,034242.39+232021.7,55.67666,23.339370000000002,HCG86,,11.39,5.3,0.26899999999999996,,,,0.023,LC1,ok,,,single,no,no,no,no,no,no,no,no,no,HCG86,11.38,5.3,0.31,8.27,0.66,3155.0,1.05,,Cl* Melotte 22 HCG 86,16.765,99.0,13.823,11.388,3105.95,3131.85,,3177.19,,,,3139.01,2.75,7.0278,6.719,0.5539,-0.0258,0.3978,0.0137,3105.95,0.3,2765.0,0.0,,1.0,1-1-1-1-1,55.676662,23.339376
211008237.0,034244.36+230616.3,55.68486,23.10454,HHJ119,,12.95,5.7,0.4288,,,,0.012,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HHJ119,12.94,5.7,0.22,9.85,0.34,3044.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211062604.0,034244.45+235815.4,55.68524,23.97097,BPL43,,13.22,5.77,0.4436,,,,0.040999999999999995,LC1,best,,,single,no,no,no,no,no,no,no,no,no,BPL43,13.21,5.77,0.21,10.13,0.3,3027.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211053031.0,034245.64+234922.8,55.69019,23.82302,HHJ52,19.5,13.4,5.99,0.3519,,,,0.019,LC1,best,,,single,yes,no,no,no,no,no,no,no,no,HHJ52,13.39,5.99,0.18,10.33,0.29,2975.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211038211.0,034248.90+233448.6,55.70377,23.58018,HHJ153,,12.77,5.4,0.6804,,,,0.043,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HHJ153,12.76,5.4,0.27,9.66,0.35,3124.0,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211074858.0,034249.09+241015.6,55.70457,24.17101,SK663,16.95,11.74,5.1,1.4585,,,,0.031,LC1,ok,,,single,no,no,no,no,no,no,no,no,no,SK663,11.73,5.1,0.37,8.61,0.54,3219.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211010807.0,034251.67+230844.0,55.715309999999995,23.14558,UGCSJ034251.68+230843.6,,12.5,6.02,0.4038,0.6769,,,0.023,LC1,best,,,multi,no,no,no,no,no,no,yes,no,no,UGCSJ034251.68+230843.6,12.49,6.02,0.17,9.43,0.44,2969.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211095624.0,034255.10+242935.0,55.72962,24.49306,HII25,,8.26,1.1,1.4072,,,,0.001,LC1,best,,44.2,multi,no,no,no,no,no,no,no,no,no,HII25,8.25,1.1,1.28,3.64,1.33,6448.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211069418.0,034256.53+240457.9,55.735569999999996,24.08277,HCG93,16.24,11.23,4.9,0.8174,,,,0.021,LC1,best,0.82,,single,no,no,no,no,no,no,no,no,no,HCG93,11.22,4.9,0.41,8.09,0.66,3287.0,0.64,,Cl* Melotte 22 HCG 93,16.238,99.0,13.544,11.228,3242.73,3262.84,,3296.86,0.81710583,0.0562,0.01541,3231.24,9.16,5.851,5.6432,0.606,-0.0464,0.4454,-0.0087,3242.73,0.436,2837.5,0.115,2912.5,1.0,1-2-1-1-1,55.735577,24.082775
