Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType
2MASS J16142478-1733329,,M7,2,M7,,,out,,,out,,,out,,,out,,,out,13.59,0.03,,13.27,0.04,,,,false,,,nodet,,,,N,,,
2MASS J16142888-2106274,"HD 145964,HIP 79599","A0V,B9V","33,1",B9V,,,out,,,out,,,out,,,out,6.45,0.04,,6.31,0.04,,6.39,0.02,,6.43,0.02,,6.42,0.07,,,,N,N,N,N,
2MASS J16142893-1857224,RX J1614.6-1857,"M2+M2,M2.5","31,30",M2.5,9.2,0.02,,9.14,0.02,,9.08,0.03,,9.06,0.03,,8.2,0.04,,9.29,0.02,,9.13,0.02,,8.86,0.04,,8.04,0.32,,N,N,Y,N,N,,debris/ev trans
2MASS J16143287-2242133,,"M6.5,M6.5","17,25",M6.5,,,out,,,out,,,out,,,out,,,out,12.88,0.03,,12.34,0.03,,11.4,0.21,,,,nodet,,,,Y,Y,,ev or trans
2MASS J16143367-1900133,,M3,22,M3,,,out,6.98,0.02,,,,out,6.01,0.03,,3.04,0.04,,7.7,0.03,,7.14,0.02,,5.0,0.02,,3.01,0.02,,Y,Y,Y,Y,Y,Y,full
2MASS J16143751-1858240,,M3,14,M3,11.56,0.02,,11.48,0.02,,11.4,0.03,,11.4,0.04,,,,nodet,11.67,0.03,,11.48,0.02,,,,nodet,,,nodet,N,N,,N,,,
2MASS J16143846-2321372,,M4.5,25,M4.5,,,out,,,out,,,out,,,out,,,out,10.35,0.02,,10.23,0.02,,10.22,0.08,,,,nodet,,,,N,N,,
2MASS J16144016-2014030,"HD 145998,HIP 79606","F6V,F8V","1,9",F8V,,,out,6.99,0.02,,,,out,7.03,0.03,,6.98,0.04,,6.99,0.04,,7.0,0.02,,7.02,0.02,,7.15,0.1,,N,N,N,N,N,N,
2MASS J16144120-2227052,,M4.5,25,M4.5,,,out,,,out,,,out,,,out,,,out,10.65,0.02,,10.49,0.02,,10.36,0.08,,,,nodet,,,,N,N,,
2MASS J16144169-2351058,,"L1,M9.25","7,2",M9.25,14.03,0.03,,13.93,0.03,,,,out,,,out,,,out,14.34,0.04,bl,13.92,0.06,bl,,,nodet,,,nodet,N,,,N,,,
2MASS J16145258-2017133,,"M9,M8.25","16,2",M8.25,,,out,,,out,,,out,,,out,,,nodet,13.8,0.03,,13.47,0.05,,,,nodet,,,nodet,,,,N,,,
2MASS J16145343-2528371,"HD 146001,HIP 79622",B8V,1,B8V,,,out,,,out,,,out,,,out,5.97,0.1,,5.83,0.05,,,,err,5.9,0.02,,,,false,,,N,,N,,
