Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType
2MASS J15321033-2158004,"HD 138343,HIP 76071",B9V,1,B9V,,,out,7.05,0.02,,,,out,7.12,0.03,,7.09,0.04,,7.02,0.03,,7.06,0.02,,7.09,0.02,,7.13,0.11,,N,N,N,N,N,N,
2MASS J15350863-2532397,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,13.37,0.03,,13.14,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15351610-2544030,"HD 138813,HIP 76310",A0V,1,A0V,,,out,7.15,0.02,,,,out,7.16,0.03,,4.08,0.04,,7.14,0.03,,7.18,0.02,,6.72,0.02,,4.23,0.02,,N,N,Y,N,Y,Y,debris/ev trans
2MASS J15354856-2958551,RX J1535.8-2958,M4,3,M4,,,out,,,out,,,out,,,out,,,out,9.18,0.02,,8.84,0.02,,7.09,0.02,,5.15,0.03,,,,,Y,Y,Y,full
2MASS J15355111-2021008,,M8,2,M8,,,out,,,out,,,out,,,out,,,out,13.45,0.03,,13.08,0.04,,,,nodet,,,nodet,,,,N,,,
2MASS J15355780-2324046,,K3,4,K3,,,out,9.33,0.02,,,,out,9.27,0.03,,9.31,0.09,,9.32,0.02,,9.29,0.02,,9.19,0.04,,,,false,N,N,N,N,N,,
2MASS J15372849-2616474,"HD 139160,HIP 76503",B9IV,1,B9IV,,,out,,,out,,,out,,,out,6.33,0.04,,6.14,0.04,,6.19,0.02,,6.31,0.02,,6.26,0.06,,,,N,N,N,N,
2MASS J15390006-1943569,"HD 139486,HIP 76633",B9V,1,B9V,,,out,7.52,0.02,,,,out,7.52,0.03,,7.14,0.04,,7.48,0.03,,7.51,0.02,,7.47,0.02,,7.52,0.14,,N,N,Y,N,N,N,debris/ev trans
2MASS J15390187-2956307,RX J1539.0-2956,K4,3,K4,,,out,,,out,,,out,,,out,,,out,9.4,0.02,,9.35,0.02,,9.11,0.04,,,,false,,,,N,N,,
2MASS J15392602-2958462,RX J1539.4-2958,M2,3,M2,,,out,,,out,,,out,,,out,,,out,10.11,0.02,,9.97,0.02,,9.84,0.06,,,,nodet,,,,N,N,,
2MASS J15410679-2656263,RX J1541.1-2656,"G7,K1V","4,5",G9,8.79,0.02,,8.86,0.02,,,,out,8.86,0.03,,8.6,0.05,,8.81,0.02,,8.84,0.02,,8.76,0.03,,,,nodet,N,N,N,N,N,,
2MASS J15411302-2308161,,M5.75,2,M5.75,,,out,,,out,,,out,,,out,,,out,13.64,0.03,,13.37,0.04,,,,false,,,nodet,,,,N,,,
2MASS J15413121-2520363,,G9IVe,5,G9IVe,,,out,7.18,0.02,,,,out,7.19,0.03,,7.06,0.04,,7.15,0.03,,7.15,0.02,,7.08,0.02,,7.06,0.09,,N,N,N,N,N,N,
2MASS J15423609-2108428,,M7,2,M7,,,out,,,out,,,out,,,out,,,out,13.05,0.03,,12.84,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J15441334-2522590,,M1,4,M1,,,out,8.91,0.02,,,,out,8.83,0.03,,8.73,0.06,,8.9,0.02,,8.89,0.02,,8.78,0.03,,,,false,N,N,N,N,N,,
2MASS J15453662-2510493,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,12.79,0.03,bl,12.19,0.03,bl,10.61,0.1,,,,false,,,,Y,Y,,full
2MASS J15460529-2920531,RX J1546.0-2920,M0,3,M0,,,out,,,out,,,out,,,out,,,out,9.38,0.02,,9.35,0.02,,9.17,0.04,,,,false,,,,N,N,,
2MASS J15470494-2137403,,M4,6,M4,,,out,,,out,,,out,,,out,,,out,11.61,0.03,,11.41,0.03,,11.13,0.14,,,,nodet,,,,N,N,,
2MASS J15472282-2139141,,"L0,M7.5","7,2",M7.5,13.37,0.03,,13.03,0.03,,,,out,,,out,,,out,13.69,0.03,,13.07,0.04,,,,false,,,nodet,Y,,,Y,,,full
2MASS J15480057-1815003,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.44,0.03,,12.85,0.03,,11.16,0.17,,,,nodet,,,,Y,Y,,full
2MASS J15480291-2908369,RX J1548.0-2908,"G9,G9IV","3,5",G9,,,out,8.59,0.02,,,,out,8.56,0.03,,8.43,0.06,,8.57,0.02,,8.59,0.02,,8.52,0.03,,,,false,N,N,N,N,N,,
2MASS J15485212-2929002,"HD 141190,HIP 77457",A7IV,8,A7IV,,,out,7.26,0.02,,,,out,7.31,0.03,,7.3,0.04,,7.26,0.03,,7.28,0.02,,7.28,0.02,,7.28,0.13,,N,N,N,N,N,N,
2MASS J15490414-2120150,,M6,6,M6,,,out,,,out,,,out,,,out,,,out,12.63,0.03,,12.37,0.03,,11.76,0.28,,,,nodet,,,,N,,,
2MASS J15492100-2600062,RX J1549.3-2600,"K0,K1IVe","3,5",K0.5,7.83,0.02,,7.92,0.02,,7.83,0.03,,7.82,0.03,,7.81,0.1,,7.86,0.03,,7.86,0.02,,7.69,0.04,,,,false,N,N,N,N,N,,
2MASS J15492260-2146574,,M3.5,6,M3.5,,,out,,,out,,,out,,,out,,,out,10.97,0.03,,10.8,0.02,,10.74,0.11,,,,nodet,,,,N,N,,
2MASS J15493784-2514102,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.6,0.03,bl,13.29,0.04,bl,,,nodet,,,nodet,,,,N,,,
2MASS J15495069-2233511,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,12.43,0.03,,12.1,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15495733-2201256,,M6,6,M6,,,out,,,out,,,out,,,out,,,out,12.15,0.03,,11.89,0.02,,,,false,,,nodet,,,,N,,,
2MASS J15495979-2509033,"HD 141441,HIP 77545",A2/A3V,1,A2V,,,out,7.85,0.02,,,,out,7.85,0.03,,7.16,0.05,,7.83,0.02,,7.86,0.02,,7.7,0.03,,6.9,0.13,ext,N,N,Y,N,N,,debris/ev trans
2MASS J15500499-2311537,RX J1550.0-2312,M2,3,M2,,,out,8.65,0.02,,,,out,8.62,0.03,,8.58,0.05,,8.79,0.02,,8.66,0.02,,8.51,0.03,,7.96,0.23,,N,N,N,N,N,N,
2MASS J15501958-2805237,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,13.28,0.03,,12.72,0.03,,11.14,0.14,,,,nodet,,,,Y,Y,,full
2MASS J15505641-2534189,HD 141618,"F9,G1","3,1",G0,,,out,7.87,0.02,,,,out,7.87,0.03,,7.88,0.04,,7.86,0.03,,7.87,0.02,,7.86,0.02,,7.82,0.17,,N,N,N,N,N,N,
2MASS J15505874-2545046,"HD 141637,HIP 77635,1 Sco",B1.5Vn,1,B1.5Vn,,,out,4.84,0.02,,,,out,4.94,0.03,,4.9,0.04,,4.79,0.09,,,,err,4.9,0.02,,4.81,0.05,,N,N,N,,N,N,
2MASS J15510660-2402190,RX J1551.1-2402,M2,3,M2,,,out,9.57,0.02,,,,out,9.53,0.03,,9.11,0.06,,9.64,0.02,,9.56,0.02,,9.49,0.04,,,,nodet,N,N,N,N,N,,
2MASS J15511870-2145235,,M4,6,M4,,,out,,,out,,,out,,,out,,,out,11.06,0.02,,10.86,0.02,,10.87,0.12,,,,nodet,,,,N,N,,
2MASS J15512865-2927402,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,13.33,0.03,,13.08,0.04,,,,false,,,nodet,,,,N,,,
2MASS J15514032-2146103,,M4,6,M4,,,out,,,out,,,out,,,out,,,out,10.52,0.02,,10.05,0.02,,8.73,0.03,,7.41,0.14,,,,,Y,Y,Y,evolved
2MASS J15514758-2329332,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.08,0.03,bl,12.73,0.03,bl,,,false,,,nodet,,,,N,,,
2MASS J15521088-2125372,,>M4,2,>M4,,,out,,,out,,,out,,,out,,,out,11.01,0.02,,10.15,0.02,,8.86,0.04,,6.92,0.1,,,,,Y,Y,Y,full
2MASS J15522255-2313361,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,12.57,0.03,,12.26,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15523122-2633529,RX J1552.5-2633,M0,3,M0,,,out,,,out,,,out,,,out,,,out,8.83,0.02,,8.84,0.02,,8.77,0.03,,,,false,,,,N,N,,
2MASS J15530132-2114135,,M4,6,M4,,,out,,,out,,,out,,,out,,,out,10.71,0.02,,10.27,0.02,,8.4,0.03,,6.69,0.07,,,,,Y,Y,Y,full
2MASS J15532089-1923535,"HD 142113,HIP 77813","F8V,F9V","1,9",F9V,,,out,,,out,,,out,,,out,7.17,0.05,,7.19,0.03,,7.22,0.02,,7.18,0.02,,7.32,0.13,,,,N,N,N,N,
2MASS J15532192-2158165,"HD 142097,HIP 77815",A5V,1,A5V,,,out,7.11,0.02,,,,out,7.18,0.03,,7.08,0.04,,7.12,0.03,,7.12,0.02,,7.08,0.02,,7.1,0.1,,N,N,N,N,N,N,
2MASS J15533670-2519378,"HD 142114,HIP 77840,2 Sco","B2.5Vn,B2.5Vn+B7V","1,10",B2.5V,,,out,4.85,0.02,,,,out,4.95,0.03,,5.01,0.1,,4.83,0.08,,,,err,4.81,0.02,,,,ext,N,N,N,,N,,
2MASS J15534211-2049282,,M3.4,11,M3.4,,,out,,,out,,,out,,,out,,,out,8.82,0.02,,8.11,0.02,,6.47,0.02,,4.54,0.03,,,,,Y,Y,Y,full
2MASS J15535391-2431592,"HD 142165,HIP 77858",B5V,1,B5V,,,out,5.38,0.02,,,,out,5.46,0.03,,5.43,0.1,,5.31,0.07,,,,err,5.37,0.02,,,,ext,N,N,N,,N,,
2MASS J15535586-2358410,"HD 142184,HIP 77859,V1040 Sco",B2V,1,B2V,,,out,5.26,0.02,,,,out,5.1,0.03,,4.71,0.04,,5.29,0.06,,,,err,4.97,0.02,,4.49,0.03,,N,Y,Y,,Y,Y,Be
2MASS J15540358-2920154,RX J1554.0-2920,M0,3,M0,,,out,8.57,0.02,,,,out,8.52,0.03,,8.36,0.05,,8.54,0.02,,8.5,0.02,,8.43,0.03,,8.34,0.29,,N,N,N,N,N,,
2MASS J15541998-2135428,,"M8,M8","6,7",M8,13.01,0.03,,12.61,0.03,,,,out,,,out,,,out,13.26,0.03,,12.57,0.03,,10.98,0.13,,,,false,Y,,,Y,Y,,full
2MASS J15543010-2720190,"HD 142250,HIP 77900",B7V,8,B7V,,,out,6.33,0.02,,,,out,6.44,0.03,,6.38,0.04,,6.33,0.05,,6.34,0.02,,6.41,0.02,,6.46,0.06,,N,N,N,N,N,N,
2MASS J15543065-2536054,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,13.8,0.03,,13.61,0.05,,,,nodet,,,nodet,,,,N,,,
2MASS J15543190-2221564,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,12.92,0.03,,12.6,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J15543952-2514375,"HD 142301,HIP 77909,V927 Sco",B8III/IV,1,B8III/IV,,,out,6.05,0.02,,,,out,6.15,0.03,,6.13,0.04,,5.97,0.05,,6.0,0.02,,6.1,0.02,,6.03,0.05,,N,N,N,N,N,N,
2MASS J15544159-2245585,"HD 142315,HIP 77911",B9V,1,B9V,,,out,6.68,0.02,,,,out,6.75,0.03,,4.19,0.04,,6.66,0.04,,6.65,0.02,,6.55,0.02,,4.34,0.03,,N,N,Y,N,N,Y,debris/ev trans
2MASS J15545986-2347181,"HD 142361,Sco PMS 5","G3V,G2,G3V","1,12,5",G3V,6.93,0.02,,6.98,0.02,,,,out,6.98,0.03,,6.85,0.04,,6.97,0.03,,6.95,0.02,,6.9,0.02,,6.79,0.07,,N,N,N,N,N,N,
2MASS J15550038-1922584,"HD 142378,HIP 77939",B2/B3V,1,B2V,,,out,,,out,,,out,,,out,,,out,5.84,0.06,,,,err,5.93,0.02,,5.96,0.04,,,,,,N,N,
2MASS J15550531-2117402,,M5,6,M5,,,out,,,out,,,out,,,out,,,out,11.34,0.02,,11.12,0.02,,10.82,0.12,,,,nodet,,,,N,N,,
2MASS J15550624-2521102,RX J1555.1-2521,M1,3,M1,8.38,0.02,,8.37,0.02,,8.3,0.03,,8.31,0.03,,8.11,0.05,,8.38,0.02,,8.38,0.02,,8.35,0.06,,,,nodet,N,N,N,N,N,,
2MASS J15551704-2322165,Sco PMS 8b,M2.5,12,M2.5,,,out,,,out,,,out,,,out,8.38,0.08,,9.21,0.02,bl,9.03,0.02,bl,,,false,,,nodet,,,Y,N,,,debris/ev trans
2MASS J15551758-2322036,"HD 142424,HIP 77960",A4IV/V,1,A4IV/V,,,out,7.33,0.02,,,,out,7.42,0.03,,7.29,0.04,,7.3,0.03,,7.33,0.02,,7.32,0.02,,7.3,0.12,,N,N,N,N,N,N,
2MASS J15551877-2322072,Sco PMS 8a,M4,12,M4,,,out,,,out,,,out,,,out,9.02,0.09,,9.58,0.02,bl,9.42,0.02,bl,,,false,,,false,,,N,N,,,
2MASS J15552561-1817484,,M6,13,M6,,,out,,,out,,,out,,,out,,,out,11.18,0.03,,10.91,0.02,,10.71,0.1,,,,nodet,,,,N,N,,
2MASS J15553243-2308171,,M1,14,M1,,,out,,,out,,,out,,,out,,,out,12.16,0.03,,12.09,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15554839-2512174,,M2.5,15,M2.5,,,out,,,out,,,out,,,out,,,out,,,unres,,,unres,,,unres,,,unres,,,,,,,
2MASS J15554883-2512240,HD 142506,"G3V,G3,G8V","1,3,5",G3V,,,out,,,out,,,out,,,out,,,out,8.12,0.02,bl,8.12,0.02,bl,7.92,0.02,bl,7.18,0.1,bl,,,,N,Y?,Y?,debris/ev trans?
2MASS J15555600-2045187,,"M6.5,M5","16,2",M5,,,out,,,out,,,out,,,out,7.89,0.05,,11.22,0.03,,10.63,0.02,,9.59,0.05,,,,false,,,Y,Y,Y,,full
2MASS J15560104-2338081,UScoCTIO 113,"M6.5,M5.5","16,2",M5.5,,,out,,,out,,,out,,,out,8.43,0.06,,12.36,0.03,,11.68,0.03,,10.21,0.07,,,,false,,,Y,Y,Y,,full
2MASS J15560497-2106461,,"M7,M7,M6.5","16,17,2",M6.5,,,out,,,out,,,out,,,out,,,nodet,12.72,0.03,,12.45,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15561978-2423288,,M4.5,17,M4.5,,,out,,,out,,,out,,,out,,,out,12.24,0.03,,12.0,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15562477-2225552,,M4,14,M4,,,out,9.75,0.02,,,,out,8.85,0.03,,6.18,0.04,,10.26,0.03,,9.71,0.02,,8.28,0.03,,6.45,0.06,,Y,Y,Y,Y,Y,Y,full
2MASS J15562563-2240271,,M3,14,M3,,,out,10.12,0.02,,,,out,10.05,0.03,,9.84,0.07,,10.28,0.02,,10.12,0.02,,10.01,0.06,,,,nodet,N,N,N,N,N,,
2MASS J15562941-2348197,"RX J155629.3-234821,Sco PMS 13",M1.5,12,M1.5,,,out,8.6,0.02,,,,out,8.55,0.03,,8.42,0.06,,8.64,0.02,,8.61,0.02,,8.48,0.03,,8.55,0.33,,N,N,N,N,N,,
2MASS J15562954-2256581,,M3,14,M3,,,out,10.14,0.02,,,,out,10.08,0.03,,10.08,0.12,,10.27,0.03,,10.15,0.02,,9.95,0.06,,,,nodet,N,N,N,N,N,,
2MASS J15564785-2311026,"HD 142705,HIP 78099",A0V,1,A0V,,,out,7.13,0.02,,,,out,7.2,0.03,,6.87,0.04,,7.12,0.03,,7.13,0.02,,7.09,0.02,,6.87,0.09,,N,N,Y,N,N,N,debris/ev trans
2MASS J15565307-2912507,"HD 142669,HIP 78104,rho Sco",B2IV/V,8,B2IV/V,,,out,4.51,0.02,,,,out,4.62,0.03,,4.62,0.04,,4.52,0.08,,,,err,4.59,0.02,,4.62,0.03,,N,N,N,,N,N,
2MASS J15565496-2329477,Sco PMS 14,M3,12,M3,,,out,,,out,,,out,,,out,,,out,10.18,0.03,,10.02,0.02,,9.93,0.06,,,,nodet,,,,N,N,,
2MASS J15565545-2258403,,M0,14,M0,,,out,9.24,0.02,,,,out,9.17,0.03,,8.93,0.06,,9.31,0.03,,9.24,0.02,,9.13,0.04,,,,nodet,N,N,N,N,N,,
2MASS J15570234-1950419,,K7,4,K7,8.23,0.02,,8.26,0.02,,8.19,0.03,,8.19,0.03,,8.26,0.08,,8.21,0.02,,8.22,0.02,,8.14,0.03,,8.47,0.35,,N,N,N,N,N,,
2MASS J15570641-2206060,,M4,14,M4,,,out,10.19,0.02,,,,out,9.53,0.03,,7.45,0.04,,10.78,0.02,,10.33,0.02,,8.95,0.04,,7.35,0.13,,Y,Y,Y,Y,Y,Y,full
2MASS J15571279-2343465,UScoCTIO 104,"M5,M5.5","18,2",M5.5,,,out,,,out,,,out,,,out,,,nodet,12.31,0.03,,12.06,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15571674-2529192,RX J1557.3-2529,M0,3,M0,,,out,8.7,0.02,,,,out,8.65,0.03,,8.53,0.06,,8.74,0.02,,8.7,0.02,,8.59,0.03,,8.53,0.41,,N,N,N,N,N,,
2MASS J15571998-2338499,"RX J155720.1-233847,Sco PMS 15",M0,12,M0,,,out,,,out,,,out,,,out,,,out,8.76,0.02,,8.73,0.02,,8.61,0.03,,,,false,,,,N,N,,
2MASS J15572343-2924290,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.57,0.03,bl,13.27,0.04,bl,,,nodet,,,nodet,,,,N,,,
2MASS J15572575-2354220,"RX J155724.4-235435,Sco PMS 16",M0.5,12,M0.5,,,out,,,out,,,out,,,out,,,out,8.84,0.02,,8.76,0.02,,8.54,0.04,,7.95,0.21,ext,,,,N,N,,
2MASS J15572849-2219051,,M5,14,M5,,,out,,,out,,,out,,,out,,,out,11.35,0.03,,11.13,0.02,,10.93,0.12,,,,nodet,,,,N,N,,
2MASS J15572919-2215237,,M5,14,M5,,,out,,,out,,,out,,,out,,,out,12.32,0.03,,12.13,0.03,,11.48,0.21,,,,nodet,,,,N,N,,
2MASS J15572986-2258438,UScoCTIO 13,M4,14,M4,,,out,10.48,0.02,,,,out,9.97,0.03,,7.6,0.11,,10.86,0.02,,10.5,0.02,,9.27,0.04,,7.33,0.12,,Y,Y,Y,Y,Y,Y,evolved
2MASS J15573430-2321123,"RX J155734.4-232112,Sco PMS 17",M1,12,M1,,,out,8.68,0.02,,,,out,8.6,0.03,,,,nodet,8.8,0.03,,8.69,0.02,,,,bl,,,bl,N,N,,N,,,
2MASS J15573718-2245251,,M2,14,M2,,,out,,,out,,,out,,,out,,,nodet,12.38,0.03,,12.24,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15574046-2058591,"HD 142883,HIP 78168",B3V,1,B3V,,,out,5.75,0.02,,,,out,5.85,0.03,,5.83,0.04,,5.73,0.06,,,,err,5.82,0.02,,5.81,0.04,,N,N,N,,N,N,
2MASS J15574250-2226055,,M3,14,M3,,,out,11.02,0.02,,,,out,11.02,0.03,,,,nodet,11.21,0.03,,11.03,0.02,,10.85,0.11,,,,nodet,N,N,,N,N,,
2MASS J15574661-2229203,,M3,14,M3,,,out,10.14,0.02,,,,out,10.1,0.03,,9.78,0.1,,10.31,0.02,,10.16,0.02,,10.0,0.07,,,,nodet,N,N,N,N,N,,
2MASS J15574757-2444121,,M4,17,M4,,,out,,,out,,,out,,,out,,,out,11.88,0.02,,11.65,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15575002-2305094,RX J1557.8-2305,M0,3,M0,,,out,9.12,0.02,,,,out,9.07,0.03,,9.09,0.08,,9.13,0.02,,9.1,0.02,,8.97,0.03,,,,nodet,N,N,N,N,N,,
2MASS J15575934-3143442,"HD 142851,HIP 78196",A0V,8,A0V,,,out,7.06,0.02,,,,out,7.16,0.03,,7.12,0.04,,7.1,0.03,,7.07,0.02,,7.12,0.02,,7.3,0.1,,N,N,N,N,N,N,
2MASS J15580815-2405529,RX J1558.1-2405A,K4,3,K4,,,out,8.82,0.02,,,,out,8.77,0.03,,8.91,0.06,,8.88,0.03,,8.84,0.02,,8.84,0.04,,,,nodet,N,N,N,N,N,,
2MASS J15581136-1416454,"HD 142983,HIP 78207,48 Lib",B8Ia/Iab,1,B8Ia/Iab,,,out,4.12,0.02,,,,out,3.66,0.03,,2.34,0.04,,4.35,0.08,,,,err,3.25,0.02,,2.48,0.03,,Y,Y,Y,,Y,Y,Be
2MASS J15581270-2328364,RX J1558.2-2328,"G2,G9V","3,5",G6,,,out,7.97,0.02,,,,out,7.94,0.03,,6.74,0.04,,7.93,0.03,,7.97,0.02,,7.85,0.03,,6.75,0.08,,N,N,Y,N,N,Y,debris/ev trans
2MASS J15582054-1837252,HD 142987,"G3/6,G3","1,4",G3,,,out,7.5,0.02,,,,out,7.44,0.03,,7.39,0.04,,7.43,0.03,,7.44,0.02,,7.39,0.02,,7.41,0.13,,N,N,N,N,N,N,
2MASS J15582337-2151588,,M4.75,17,M4.75,,,out,,,out,,,out,,,out,,,out,11.08,0.02,,10.85,0.02,,10.66,0.11,,,,false,,,,N,N,,
2MASS J15582930-2124039,"HD 142989,HIP 78233","F2/F3IV/V,F0IV","1,9",F0IV,,,out,7.68,0.02,,,,out,7.67,0.03,,7.71,0.04,,7.63,0.02,,7.66,0.02,,7.67,0.02,,7.69,0.18,,N,N,N,N,N,N,
2MASS J15582981-2310077,UScoCTIO 33,M3,14,M3,,,out,10.03,0.02,,,,out,9.15,0.03,,6.16,0.04,,10.77,0.02,,10.16,0.02,,8.2,0.03,,6.23,0.05,,Y,Y,Y,Y,Y,Y,full
2MASS J15583162-2402538,,M4.5,19,M4.5,,,out,,,out,,,out,,,out,,,out,11.95,0.03,,11.68,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15583487-2449531,"HD 142990,HIP 78246,V913 Sco",B5V,1,B5V,,,out,5.71,0.02,,,,out,5.81,0.03,,5.78,0.04,,5.66,0.05,,,,err,5.78,0.02,,5.78,0.04,,N,N,N,,N,N,
2MASS J15583598-2348136,UScoCTIO 80B,M4,18,M4,,,out,,,out,,,out,,,out,,,out,11.84,0.04,bl,11.6,0.03,bl,,,false,,,nodet,,,,N,,,
2MASS J15583621-2348018,UScoCTIO 80A,M3,15,M3,,,out,,,out,,,out,,,out,,,out,10.0,0.02,,9.82,0.02,,9.71,0.05,,,,nodet,,,,N,N,,
2MASS J15583692-2257153,"HD 143006,V1149 Sco",G6/G8,1,G7,6.03,0.02,,5.7,0.02,,,,out,4.8,0.03,,0.81,0.04,,5.82,0.05,,,,err,4.06,0.02,,1.31,0.02,,Y,Y,Y,,Y,Y,full
2MASS J15584772-1757595,,"K3,K5","4,20",K4,8.16,0.02,,8.2,0.02,,,,out,8.18,0.03,,7.74,0.04,,8.29,0.03,,8.26,0.02,,8.06,0.03,,7.5,0.14,,N,N,Y,N,N,N,debris/ev trans
2MASS J15584813-2141338,,M5.5,17,M5.5,,,out,,,out,,,out,,,out,,,out,12.33,0.02,,12.05,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15585111-2606507,"HD 143018,HIP 78265,pi Sco",B1V+B2V,1,B1V,,,out,3.5,0.02,,,,out,3.63,0.03,,3.39,0.09,,3.51,0.11,,,,err,3.47,0.02,,,,false,N,N,N,,N,,
2MASS J15585351-2512334,RX J1558.8-2512,M1,3,M1,,,out,,,out,,,out,,,out,,,out,9.48,0.02,,9.41,0.02,,9.3,0.04,,,,nodet,,,,N,N,,
2MASS J15590208-1844142,,"K6,K7","4,20",K6.5,,,out,,,out,,,out,,,out,,,out,7.93,0.02,,7.88,0.02,,7.75,0.02,,7.26,0.12,,,,,N,N,N,
2MASS J15591135-2338002,UScoCTIO 128,"M7,M7,M6.5","18,21,2",M7,,,out,,,out,,,out,,,out,8.65,0.06,,12.8,0.03,,12.16,0.03,,10.58,0.09,,8.73,0.39,,,,Y,Y,Y,,full
2MASS J15591244-2236502,,M5,14,M5,,,out,,,out,,,out,,,out,,,out,11.59,0.03,,11.33,0.03,,11.16,0.15,,,,nodet,,,,N,N,,
2MASS J15591839-2210430,,M4,14,M4,,,out,9.67,0.02,,,,out,9.64,0.03,,9.23,0.08,,9.9,0.03,,9.68,0.02,,9.53,0.05,,,,false,N,N,N,N,N,,
2MASS J15592591-2305081,UScoCTIO 67,"M5.5,M6,M5.5","18,14,2",M5.5,,,out,,,out,,,out,,,out,10.6,0.32,,11.35,0.02,,11.09,0.02,,10.97,0.12,,,,nodet,,,,N,N,,
2MASS J15594366-2014396,UScoCTIO 130,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,nodet,12.8,0.03,,12.46,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J15594439-1928191,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,12.93,0.03,,12.73,0.03,,,,false,,,nodet,,,,N,,,
2MASS J15594802-2227162,,M7.5,19,M7.5,12.7,0.02,,12.59,0.02,,12.59,0.03,,12.57,0.04,,,,nodet,12.94,0.03,,12.63,0.03,,,,nodet,,,nodet,N,N,,N,,,
2MASS J15594970-2301576,UScoCTIO 79,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,11.62,0.03,,11.37,0.02,,11.13,0.15,,,,nodet,,,,N,N,,
2MASS J15594989-2555584,RX J1559.8-2556,M2,3,M2,,,out,,,out,,,out,,,out,,,out,9.39,0.02,,9.3,0.02,,9.14,0.04,,,,false,,,,N,N,,
2MASS J15595868-1836520,,M5.5,17,M5.5,,,out,,,out,,,out,,,out,,,out,12.2,0.03,,11.88,0.03,,11.64,0.25,,,,nodet,,,,N,,,
2MASS J15595995-2220367,Sco PMS 19,M1,12,M1,,,out,8.43,0.02,,,,out,8.35,0.03,,,,out,8.49,0.02,,8.41,0.02,,8.28,0.03,,8.16,0.26,,N,N,,N,N,,
2MASS J16000078-2509423,RX J1600.0-2509,G0,3,G0,,,out,8.76,0.02,,,,out,8.76,0.03,,8.53,0.06,,8.75,0.02,,8.77,0.02,,8.7,0.03,,,,false,N,N,N,N,N,,
2MASS J16000713-2224066,,M4,14,M4,,,out,,,out,,,out,,,out,,,out,12.43,0.03,,12.24,0.03,,,,false,,,nodet,,,,N,,,
2MASS J16001330-2418106,RX J1600.2-2417,M0,3,M0,,,out,9.33,0.02,,,,out,9.27,0.03,,8.69,0.04,,9.36,0.03,,9.32,0.02,,9.22,0.04,,,,nodet,N,N,Y,N,N,,debris/ev trans
2MASS J16001567-2231580,,M4,2,M4,,,out,,,out,,,out,,,out,,,out,10.25,0.02,,10.07,0.02,,9.9,0.06,,,,false,,,,N,N,,
2MASS J16001610-1726071,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.09,0.03,,12.81,0.03,,11.85,0.28,,,,nodet,,,,N,,,
2MASS J16001730-2236504,,M4,2,M4,,,out,,,out,,,out,,,out,,,out,9.54,0.02,,9.27,0.02,,11.09,0.29,,,,nodet,,,,Y?,,,full?
2MASS J16001844-2230114,,"M3,M4.5","14,2",M4.5,,,out,,,out,,,out,,,out,,,out,10.11,0.02,,9.5,0.02,,6.68,0.02,,4.05,0.03,,,,,Y,Y,Y,full
2MASS J16001944-2256287,UScoCTIO 131,"M8,M7","16,2",M7,,,out,,,out,,,out,,,out,,,nodet,13.24,0.03,,12.9,0.03,,,,nodet,,,nodet,,,,N,,,
