Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,SP_TYPE,SP_QUAL,SP_NATURE,SP_BIBCODE,INPUT
2MASS J16110212-2335504,,M5,25,M5,,,out,,,out,,,out,,,out,,,out,10.74,0.02,,10.56,0.02,,10.45,0.08,,,,nodet,,,,N,N,,,2MASS J16110212-2335504,16 11 02.12,-23 35 50.5,6.0,6.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,brownD*,M5.0,D,,2011A&A...527A..24L,2MASS J16110212-2335504
2MASS J16110360-2426429,,"M9,M8","16,2",M8,,,out,,,out,,,out,,,out,9.5,0.05,,13.09,0.03,,12.44,0.03,,10.74,0.11,,,,nodet,,,Y,Y,Y,,full,2MASS J16110360-2426429,16 11 03.609,-24 26 42.94,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,brownD*,M9,D,,,2MASS J16110360-2426429
2MASS J16110737-2228501,,"M6.25,M5.75","17,25",M6,,,out,,,out,,,out,,,out,,,out,10.97,0.02,,10.39,0.02,,8.54,0.03,,7.01,0.09,,,,,Y,Y,Y,full,2MASS J16110737-2228501,16 11 07.380,-22 28 50.13,7.0,7.0,,,0.0,B,I,2003yCat.2246....0C,pMS*,M6.25,D,,2008ApJ...688..377S,2MASS J16110737-2228501
2MASS J16110744-2503016,,M3.25,2,M3.25,,,out,,,out,,,out,,,out,,,out,9.5,0.03,,9.35,0.02,,9.22,0.04,,,,nodet,,,,N,N,,,2MASS J16110744-2503016,16 11 07.446,-25 03 01.63,7.0,7.0,60.0,60.0,0.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16110744-2503016
2MASS J16110890-1904468,"Sco PMS 44,HBC 630",K2,12,K2,7.54,0.02,,7.5,0.02,,7.42,0.03,,7.44,0.03,,7.25,0.06,,7.57,0.03,,7.51,0.02,,7.38,0.02,,7.47,0.17,,N,N,N,N,N,N,,V* V1000 Sco,16 11 08.908,-19 04 46.86,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,Orion_V*,K2,D,,,2MASS J16110890-1904468
2MASS J16111095-1933320,,M5,14,M5,,,out,,,out,,,out,,,out,,,out,10.83,0.02,,10.39,0.02,,9.18,0.04,,8.04,0.22,,,,,Y,Y,Y,evolved,2MASS J16111095-1933320,16 11 10.959,-19 33 32.08,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,*inAssoc,M5,D,,2009A&A...504..981B,2MASS J16111095-1933320
2MASS J16111237-1927374,,"M5,M6","14,13",M5,,,out,,,out,,,out,,,out,,,out,11.25,0.02,,10.69,0.02,,8.74,0.03,,6.95,0.08,,,,,Y,Y,Y,full,2MASS J16111237-1927374,16 11 12.378,-19 27 37.44,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,*inAssoc,M5,D,,2009A&A...504..981B,2MASS J16111237-1927374
2MASS J16111330-2019029,,M3,2,M3,,,out,,,out,,,out,,,out,,,out,8.87,0.02,,8.43,0.02,,7.13,0.02,,4.89,0.04,,,,,Y,Y,Y,full,2MASS J16111330-2019029,16 11 13.31,-20 19 02.9,6.0,6.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,Em*,,,,,2MASS J16111330-2019029
2MASS J16111534-1757214,,M1,22,M1,,,out,8.3,0.02,,,,out,7.09,0.03,,4.97,0.04,,8.75,0.02,,8.27,0.02,,6.27,0.02,,4.75,0.03,,Y,Y,Y,Y,Y,Y,full,2MASS J16111534-1757214,16 11 15.342,-17 57 21.43,7.0,7.0,80.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M1,D,,2009A&A...504..981B,2MASS J16111534-1757214
2MASS J16111662-1939103,,M4,22,M4,,,out,,,out,,,out,,,out,,,out,9.43,0.02,,9.26,0.02,,9.13,0.04,,,,nodet,,,,N,N,,,2MASS J16111662-1939103,16 11 16.629,-19 39 10.35,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M4,D,,2009A&A...504..981B,2MASS J16111662-1939103
