Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,SP_TYPE,SP_QUAL,SP_NATURE,SP_BIBCODE,INPUT
2MASS J16023910-2542078,,K7,4,K7,,,out,8.98,0.02,,,,out,8.94,0.03,,8.93,0.06,,8.92,0.03,,8.97,0.02,,8.82,0.03,,8.93,0.43,,N,N,N,N,N,,,2MASS J16023910-2542078,16 02 39.106,-25 42 07.87,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,K7,D,,,2MASS J16023910-2542078
2MASS J16024142-2248419,UScoCTIO 102,M5.5,17,M5.5,,,out,,,out,,,out,,,out,,,out,11.62,0.02,,11.11,0.03,,9.25,0.04,,7.47,0.14,,,,,Y,Y,Y,full,2MASS J16024142-2248419,16 02 41.430,-22 48 41.91,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5.5,D,,2008ApJ...688..377S,2MASS J16024142-2248419
2MASS J16024152-2138245,,M4.75,2,M4.75,,,out,,,out,,,out,,,out,,,out,10.78,0.02,,10.28,0.02,,8.44,0.03,,6.66,0.07,,,,,Y,Y,Y,full,2MASS J16024152-2138245,16 02 41.524,-21 38 24.56,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16024152-2138245
2MASS J16024415-3040013,"HD 143637,HIP 78581",G1V,8,G1V,,,out,,,out,,,out,,,out,7.38,0.05,,7.48,0.03,,7.45,0.02,,7.41,0.02,,7.41,0.12,,,,N,N,N,N,,HD 143637,16 02 44.1539,-30 40 01.536,9.0,9.0,12.550000190734863,10.34000015258789,90.0,A,O,2007A&A...474..653V,RotV*,G1V,C,,2013A&A...557A..47D,2MASS J16024415-3040013
2MASS J16024544-1930377,,M5,22,M5,,,out,10.67,0.02,,,,out,10.62,0.03,,10.34,0.17,,10.93,0.02,,10.68,0.02,,10.49,0.09,,,,nodet,N,N,N,N,N,,,2MASS J16024544-1930377,16 02 45.450,-19 30 37.79,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2009A&A...504..981B,2MASS J16024544-1930377
2MASS J16024546-1946034,,M2,22,M2,,,out,,,out,,,out,,,out,,,out,11.87,0.03,bl,11.8,0.03,bl,,,false,,,nodet,,,,N,,,,2MASS J16024546-1946034,16 02 45.463,-19 46 03.43,7.0,7.0,70.0,60.0,7.0,B,I,2003yCat.2246....0C,pMS*,M2,D,,,2MASS J16024546-1946034
2MASS J16024575-2304509,UScoCTIO 55,"M5.5,M6,M5,M5","18,14,17,2",M5,,,out,,,out,,,out,,,out,7.3,0.04,,11.18,0.02,,10.78,0.02,,9.25,0.04,,7.32,0.11,,,,Y,Y,Y,Y,full,2MASS J16024575-2304509,16 02 45.752,-23 04 50.92,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2008ApJ...688..377S,2MASS J16024575-2304509
2MASS J16025116-2401502,,M5.75,2,M5.75,,,out,11.07,0.02,,,,out,10.93,0.03,,,,nodet,,,unres,,,unres,,,unres,,,unres,N,N,,,,,,2MASS J16025116-2401502,16 02 51.170,-24 01 50.28,7.0,7.0,80.0,60.0,0.0,B,I,2003yCat.2246....0C,Star,M7-8,D,,2013ApJ...773...63A,2MASS J16025116-2401502
2MASS J16025123-2401574,RX J1602.8-2401B,K4,3,K4,,,out,8.87,0.02,,,,out,8.81,0.03,,8.34,0.05,,8.92,0.03,,8.94,0.02,,8.8,0.04,,,,false,N,N,Y,N,N,,debris/ev trans,RX J1602.8-2401B,16 02 51.227,-24 01 57.46,7.0,7.0,16.0,16.0,90.0,B,O,2003yCat.1289....0Z,TTau*,K4,D,,2000A&A...356..541K,2MASS J16025123-2401574
2MASS J16025214-2121296,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.17,0.03,,12.84,0.03,,,,false,,,nodet,,,,N,,,,2MASS J16025214-2121296,16 02 52.144,-21 21 29.68,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16025214-2121296
2MASS J16025243-2402226,RX J1602.8-2401A,K0,3,K0,,,out,7.67,0.02,,,,out,7.57,0.03,,7.55,0.04,,7.54,0.03,,7.67,0.02,,7.55,0.03,,7.55,0.15,,N,N,N,N,N,N,,2MASS J16025243-2402226,16 02 52.435,-24 02 22.65,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,TTau*,K0,,,2006ApJ...651L..49C,2MASS J16025243-2402226
2MASS J16025396-2022480,RX J1602.9-2022,"K7,K5","3,20",K6,7.98,0.02,,7.92,0.02,,7.84,0.03,,7.83,0.03,,7.74,0.05,,8.02,0.02,,7.96,0.02,,7.8,0.02,,7.96,0.2,,N,N,N,N,N,N,,2MASS J16025396-2022480,16 02 53.960,-20 22 48.06,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,TTau*,K7,,,2008ApJ...679..762K,2MASS J16025396-2022480
2MASS J16025512-2247207,,M4,2,M4,,,out,,,out,,,out,,,out,,,out,10.45,0.03,,10.26,0.02,,10.15,0.08,,,,nodet,,,,N,N,,,2MASS J16025512-2247207,16 02 55.128,-22 47 20.73,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16025512-2247207
2MASS J16025529-1922431,,M6.5,13,M6.5,,,out,,,out,,,out,,,out,,,out,11.44,0.02,,11.17,0.02,,10.98,0.13,,,,nodet,,,,N,N,,,2MASS J16025529-1922431,16 02 55.298,-19 22 43.20,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,Star,,,,,2MASS J16025529-1922431
2MASS J16025855-2256495,,"M2,M2.75","14,2",M2.75,,,out,,,out,,,out,,,out,,,out,10.0,0.02,,9.9,0.02,,9.72,0.05,,,,nodet,,,,N,N,,,2MASS J16025855-2256495,16 02 58.554,-22 56 49.54,7.0,7.0,15.0,15.0,90.0,B,O,2003yCat.1289....0Z,*inAssoc,M2,D,,2009A&A...504..981B,2MASS J16025855-2256495
2MASS J16030161-2207523,UScoCTIO 59,M4.75,2,M4.75,,,out,,,out,,,out,,,out,,,out,11.32,0.03,,10.78,0.02,,9.22,0.04,,7.06,0.09,,,,,Y,Y,Y,full,2MASS J16030161-2207523,16 03 01.62,-22 07 52.4,6.0,6.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,*inAssoc,,,,,2MASS J16030161-2207523
2MASS J16030269-1806050,,"K4,M0","4,20",K6,,,out,,,out,,,out,,,out,8.44,0.05,,8.56,0.03,,8.58,0.02,,8.47,0.03,,8.31,0.32,,,,N,N,N,,,GSC 06204-00812,16 03 02.692,-18 06 05.03,7.0,7.0,70.0,70.0,90.0,B,I,2003yCat.2246....0C,RotV*,M0,D,,2006AJ....132..866R,2MASS J16030269-1806050
2MASS J16031329-2112569,,M4.75,2,M4.75,,,out,,,out,,,out,,,out,,,out,10.86,0.02,,10.42,0.02,,8.47,0.03,,7.01,0.09,,,,,Y,Y,Y,full,2MASS J16031329-2112569,16 03 13.298,-21 12 56.91,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16031329-2112569
2MASS J16031771-2108361,,M2.5,2,M2.5,,,sat,,,out,9.51,0.03,,,,out,,,out,9.71,0.02,,9.62,0.02,,9.53,0.04,,,,nodet,,,,N,N,,,2MASS J16031771-2108361,16 03 17.712,-21 08 36.12,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16031771-2108361
2MASS J16032225-2413111,,M3.5,2,M3.5,,,out,,,out,,,out,,,out,,,out,9.38,0.02,,9.0,0.02,,7.71,0.02,,5.49,0.04,,,,,Y,Y,Y,full,2MASS J16032225-2413111,16 03 22.252,-24 13 11.12,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16032225-2413111
2MASS J16032367-1751422,,M2,4,M2,,,out,,,out,,,out,,,out,8.12,0.04,,8.37,0.02,,8.28,0.02,,8.16,0.03,,7.82,0.18,,,,N,N,N,N,,2MASS J16032367-1751422,16 03 23.676,-17 51 42.26,7.0,7.0,70.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M2,D,,,2MASS J16032367-1751422
2MASS J16032625-2155378,,M5,2,M5,,,out,,,out,,,out,,,out,,,out,11.27,0.03,bl,10.77,0.02,bl,8.86,0.04,,7.28,0.14,,,,,Y,Y,Y,full,2MASS J16032625-2155378,16 03 26.254,-21 55 37.86,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16032625-2155378
2MASS J16032787-2153155,,M1,2,M1,,,out,,,out,,,out,,,out,,,out,9.74,0.02,,9.7,0.02,,9.55,0.05,,,,nodet,,,,N,N,,,2MASS J16032787-2153155,16 03 27.874,-21 53 15.53,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16032787-2153155
2MASS J16032940-1955038,,M5,22,M5,,,out,10.65,0.02,,,,out,10.61,0.03,,10.21,0.09,,10.86,0.02,,10.63,0.02,,10.54,0.09,,,,nodet,N,N,N,N,N,,,2MASS J16032940-1955038,16 03 29.409,-19 55 03.82,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2009A&A...504..981B,2MASS J16032940-1955038
2MASS J16033181-2348583,,M2,2,M2,,,out,,,out,,,out,,,out,,,out,9.57,0.02,,9.51,0.02,,9.35,0.04,,,,false,,,,N,N,,,2MASS J16033181-2348583,16 03 31.813,-23 48 58.39,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,Star,,,,,2MASS J16033181-2348583
2MASS J16033342-3008133,"HD 143811,HIP 78663","F5V,F6V",8,F6V,,,out,,,out,,,out,,,out,7.28,0.05,,7.66,0.03,,7.69,0.02,,7.64,0.02,,7.43,0.14,,,,Y,N,N,N,debris/ev trans,HD 143811,16 03 33.4253,-30 08 13.362,9.0,9.0,10.369999885559082,9.199999809265137,90.0,A,O,2007A&A...474..653V,Star,F5V,C,,,2MASS J16033342-3008133
2MASS J16033471-1829303,,"M5.5,M5,M5","16,17,2",M5,,,out,,,out,,,out,,,out,,,out,11.12,0.03,,10.67,0.02,,9.54,0.05,,,,false,,,,Y,Y,,ev or trans,2MASS J16033471-1829303,16 03 34.710,-18 29 30.39,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2008ApJ...688..377S,2MASS J16033471-1829303
2MASS J16033550-2245560,RX J1603.6-2245,"G9,K0Ve","3,5",K0,,,out,8.26,0.02,,,,out,8.23,0.03,,8.2,0.04,,8.23,0.02,,8.27,0.02,,8.2,0.03,,8.17,0.25,,N,N,N,N,N,,,CD-22 11315,16 03 35.504,-22 45 56.10,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,RotV*,G9,,,2008ApJ...679..762K,2MASS J16033550-2245560
2MASS J16034030-2335237,,M4,17,M4,,,out,,,out,,,out,,,out,,,out,11.17,0.02,,10.98,0.02,,11.12,0.15,,,,nodet,,,,N,N,,,2MASS J16034030-2335237,16 03 40.303,-23 35 23.73,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M4,D,,2008ApJ...688..377S,2MASS J16034030-2335237
2MASS J16034187-2005577,,M2,22,M2,,,out,9.28,0.02,,,,out,9.24,0.03,,8.97,0.05,,9.36,0.02,,9.28,0.02,,9.15,0.04,,,,false,N,N,N,N,N,,,2MASS J16034187-2005577,16 03 41.875,-20 05 57.72,7.0,7.0,24.0,22.0,90.0,B,O,2003yCat.1289....0Z,pMS*,M2,D,,2009A&A...504..981B,2MASS J16034187-2005577
2MASS J16034334-2015314,,M2,22,M2,9.53,0.02,,9.5,0.02,,9.36,0.03,,9.43,0.03,,9.27,0.06,,9.56,0.02,,9.48,0.02,,9.36,0.04,,,,false,N,N,N,N,N,,,2MASS J16034334-2015314,16 03 43.348,-20 15 31.51,7.0,7.0,20.0,15.0,90.0,B,O,2003yCat.1289....0Z,pMS*,M2,D,,2009A&A...504..981B,2MASS J16034334-2015314
2MASS J16035047-1941214,,"M5,M4","22,2",M4,,,out,10.29,0.02,,,,out,10.26,0.03,,9.91,0.08,,10.49,0.03,,10.31,0.02,,10.14,0.06,,,,nodet,N,N,N,N,N,,,2MASS J16035047-1941214,16 03 50.469,-19 41 21.63,7.0,7.0,29.0,15.0,110.0,B,O,2003yCat.1289....0Z,pMS*,M5,D,,2009A&A...504..981B,2MASS J16035047-1941214
2MASS J16035496-2031383,RX J1603.9-2031B,"M0,M0","3,20",M0,,,out,8.43,0.02,,,,out,8.39,0.03,,8.16,0.04,,8.48,0.02,,8.4,0.02,,8.26,0.03,,,,false,N,N,N,N,N,,,2MASS J16035496-2031383,16 03 54.964,-20 31 38.38,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,TTau*,M0,D,,2000A&A...356..541K,2MASS J16035496-2031383
2MASS J16035652-2357250,,M4.5,17,M4.5,,,out,,,out,,,out,,,out,,,out,12.5,0.03,bl,12.28,0.03,bl,,,nodet,,,nodet,,,,N,,,,2MASS J16035652-2357250,16 03 56.528,-23 57 25.03,7.0,7.0,70.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M4.5,D,,2008ApJ...688..377S,2MASS J16035652-2357250
2MASS J16035767-2031055,RX J1603.9-2031A,K5,3,K5,,,out,7.43,0.02,,,,out,6.95,0.03,,3.31,0.04,,7.72,0.02,,7.4,0.02,,5.97,0.02,,3.42,0.02,,Y,Y,Y,Y,Y,Y,full,2MASS J16035767-2031055,16 03 57.677,-20 31 05.51,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,TTau*,K5,D,,2000A&A...356..541K,2MASS J16035767-2031055
2MASS J16035793-1942108,,M2,22,M2,,,out,9.69,0.02,,,,out,8.76,0.03,,6.13,0.04,,10.0,0.03,,9.56,0.02,,7.79,0.02,,6.3,0.06,,Y,Y,Y,Y,Y,Y,full,2MASS J16035793-1942108,16 03 57.936,-19 42 10.95,7.0,7.0,22.0,15.0,90.0,B,O,2003yCat.1289....0Z,pMS*,M2,D,,2009A&A...504..981B,2MASS J16035793-1942108
2MASS J16040024-1946029,"HD 143956,HIP 78702",B9V,1,B9V,,,sat,7.2,0.02,,7.24,0.03,,7.26,0.03,,6.98,0.04,,7.2,0.03,,7.2,0.02,,7.19,0.02,,7.25,0.13,,N,N,Y,N,N,N,debris/ev trans,HD 143956,16 04 00.2388,-19 46 02.923,9.0,9.0,8.34000015258789,5.360000133514404,90.0,A,O,2007A&A...474..653V,Star,B9V,D,,1988MSS...C04....0H,2MASS J16040024-1946029
2MASS J16041346-2810378,,M1,4,M1,,,out,,,out,,,out,,,out,,,out,8.54,0.03,,8.49,0.02,,8.35,0.03,,8.07,0.22,,,,,N,N,N,,GSC 06792-00066,16 04 13.470,-28 10 37.83,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,Star,M1,D,,,2MASS J16041346-2810378
2MASS J16041740-1942287,,M3.5,2,M3.5,,,out,,,out,,,out,,,out,,,out,9.99,0.03,,9.49,0.02,,8.19,0.03,,6.25,0.08,,,,,Y,Y,Y,full,2MASS J16041740-1942287,16 04 17.405,-19 42 28.74,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16041740-1942287
2MASS J16041792-1941505,,M5:,2,M5,,,out,,,out,,,out,,,out,,,out,11.88,0.02,,11.3,0.02,,9.71,0.05,,,,false,,,,Y,Y,,full,2MASS J16041792-1941505,16 04 17.926,-19 41 50.59,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16041792-1941505
2MASS J16041821-1910557,,M4,22,M4,10.44,0.02,,10.35,0.02,,10.33,0.03,,10.31,0.03,,10.05,0.08,,10.56,0.02,,10.37,0.02,,10.19,0.07,,,,nodet,N,N,N,N,N,,,2MASS J16041821-1910557,16 04 18.215,-19 10 55.87,7.0,7.0,52.0,19.0,0.0,B,O,2003yCat.1289....0Z,pMS*,M4,D,,2009A&A...504..981B,2MASS J16041821-1910557
2MASS J16042097-2130415,RX J1604.3-2130B,"M2,M3.5","3,2",M3.5,,,out,9.16,0.02,,,,out,9.1,0.03,,,,out,9.31,0.02,bl,9.17,0.02,bl,,,false,,,nodet,N,N,,N,,,,2MASS J16042097-2130415,16 04 20.975,-21 30 41.55,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,TTau*,M2,D,,2000A&A...356..541K,2MASS J16042097-2130415
2MASS J16042165-2130284,RX J1604.3-2130A,K2,3,K2,,,out,8.64,0.02,,,,out,8.47,0.03,,4.04,0.04,,7.55,0.02,,7.08,0.02,,6.7,0.02,,4.37,0.03,,N,N,Y,Y,Y,Y,transitional,2MASS J16042165-2130284,16 04 21.655,-21 30 28.40,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,K2,D,,2000A&A...356..541K,2MASS J16042165-2130284
2MASS J16042796-1904337,,M4,22,M4,,,out,10.58,0.02,,,,out,10.56,0.03,,10.05,0.2,,,,unres,,,unres,,,unres,,,unres,N,N,N,,,,,2MASS J16042796-1904337,16 04 27.96,-19 04 33.7,6.0,6.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M4,D,,,2MASS J16042796-1904337
2MASS J16042839-1904413,,M3,22,M3,,,out,8.96,0.02,,,,out,8.92,0.03,,8.72,0.05,,9.02,0.02,,8.87,0.02,,8.81,0.03,,,,false,N,N,N,N,N,,,2MASS J16042839-1904413,16 04 28.392,-19 04 41.36,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M3,D,,,2MASS J16042839-1904413
2MASS J16043565-1948302,,"M5,M5.25","22,2",M5.25,10.81,0.02,,10.69,0.02,,10.65,0.03,,10.65,0.03,,10.44,0.12,,10.92,0.02,,10.68,0.02,,10.46,0.09,,,,nodet,N,N,N,N,N,,,2MASS J16043565-1948302,16 04 35.652,-19 48 30.21,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2009A&A...504..981B,2MASS J16043565-1948302
2MASS J16043916-1942459,,"M4,M3.25","22,2",M3.25,,,out,10.44,0.02,,,,out,10.42,0.03,,9.53,0.06,,10.62,0.02,,10.46,0.02,,10.35,0.08,,,,nodet,N,N,Y,N,N,,debris/ev trans,2MASS J16043916-1942459,16 04 39.169,-19 42 45.94,7.0,7.0,31.0,17.0,90.0,B,O,2003yCat.1289....0Z,pMS*,M4,D,,2009A&A...504..981B,2MASS J16043916-1942459
2MASS J16044026-2254323,UScoCTIO 127,M6,2,M6,,,out,,,out,,,out,,,out,,,out,12.78,0.03,,12.13,0.03,,10.8,0.11,,,,nodet,,,,Y,Y,,full,2MASS J16044026-2254323,16 04 40.27,-22 54 32.4,6.0,6.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,*inAssoc,,,,,2MASS J16044026-2254323
2MASS J16044068-1946538,,M5.5,2,M5.5,11.92,0.02,,11.61,0.02,,11.38,0.03,,10.82,0.03,,8.03,0.05,,12.13,0.03,,11.62,0.02,,9.98,0.06,,8.13,0.21,,Y,Y,Y,Y,Y,Y,full,2MASS J16044068-1946538,16 04 40.684,-19 46 53.82,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16044068-1946538
2MASS J16044075-1936525,,"M6.5,M6.5","16,2",M6.5,,,out,,,out,,,out,,,out,,,nodet,12.14,0.03,,11.88,0.03,,,,false,,,nodet,,,,N,,,,2MASS J16044075-1936525,16 04 40.757,-19 36 52.57,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,brownD*,M6.5,D,,2009A&A...504..981B,2MASS J16044075-1936525
2MASS J16044303-2318258,UScoCTIO 110,M6.5,19,M6.5,12.28,0.02,,12.19,0.02,,12.15,0.03,,12.1,0.04,,,,nodet,12.52,0.02,,12.24,0.03,,11.3,0.18,,,,nodet,N,N,,N,Y?,,evolved?,2MASS J16044303-2318258,16 04 43.036,-23 18 25.90,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6.5,D,,2006AJ....131.3016S,2MASS J16044303-2318258
2MASS J16044776-1930230,"RX J1604.7-1930,Sco PMS 27","K2,K3IVe","12,5",K2.5,7.92,0.02,,7.95,0.02,,,,out,7.94,0.03,,7.83,0.04,,7.92,0.02,,7.93,0.02,,7.87,0.02,,7.85,0.19,,N,N,N,N,N,N,,V* V1156 Sco,16 04 47.749,-19 30 22.92,7.0,7.0,15.0,15.0,90.0,B,,2003yCat.1289....0Z,BYDra,K3IVe,C,,2006A&A...460..695T,2MASS J16044776-1930230
2MASS J16044930-2045581,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,nodet,13.66,0.03,,13.36,0.04,,,,nodet,,,nodet,,,,N,,,,2MASS J16044930-2045581,16 04 49.309,-20 45 58.17,7.0,7.0,60.0,60.0,45.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16044930-2045581
2MASS J16044997-2038353,,M5,22,M5,10.6,0.02,,10.52,0.02,,10.53,0.03,,10.46,0.03,,10.25,0.12,,10.8,0.03,,10.51,0.02,,10.35,0.08,,,,nodet,N,N,N,N,N,,,2MASS J16044997-2038353,16 04 49.973,-20 38 35.38,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2009A&A...504..981B,2MASS J16044997-2038353
2MASS J16045155-2104169,,M4.5,2,M4.5,,,out,,,out,,,out,,,out,,,out,10.16,0.03,,9.92,0.02,,9.69,0.05,,,,false,,,,N,N,,,2MASS J16045155-2104169,16 04 51.558,-21 04 16.91,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16045155-2104169
2MASS J16045199-2224108,,M8.5,2,M8.5,,,out,,,out,,,out,,,out,,,out,12.66,0.03,,12.32,0.03,,,,false,,,nodet,,,,N,,,,2MASS J16045199-2224108,16 04 52.00,-22 24 10.9,6.0,6.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,*inAssoc,,,,,2MASS J16045199-2224108
2MASS J16045379-2002271,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,11.32,0.03,,10.76,0.02,,9.38,0.04,,7.6,0.16,,,,,Y,Y,Y,full,2MASS J16045379-2002271,16 04 53.792,-20 02 27.15,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16045379-2002271
2MASS J16045581-2307438,UScoCTIO 117,"M6.5,M6.5","16,2",M6.5,,,out,,,out,,,out,,,out,,,nodet,12.54,0.03,,12.21,0.03,,,,nodet,,,nodet,,,,N,,,,2MASS J16045581-2307438,16 04 55.811,-23 07 43.81,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,brownD*,M6.5,D,,2009A&A...504..981B,2MASS J16045581-2307438
2MASS J16045644-1940451,,"M4,M4","22,2",M4,,,out,10.38,0.02,,,,out,10.37,0.03,,10.19,0.2,,10.57,0.03,,10.42,0.02,,10.07,0.07,,,,nodet,N,N,N,N,N,,,2MASS J16045644-1940451,16 04 56.445,-19 40 45.22,7.0,7.0,54.0,42.0,0.0,B,O,2003yCat.1289....0Z,pMS*,M4,D,,2009A&A...504..981B,2MASS J16045644-1940451
2MASS J16045716-2104160,,M4.5,2,M4.5,,,out,,,out,,,out,,,out,,,out,11.38,0.03,,11.15,0.03,,11.62,0.32,,,,nodet,,,,N,,,,2MASS J16045716-2104160,16 04 57.167,-21 04 16.01,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,Star,,,,,2MASS J16045716-2104160
2MASS J16050179-2411327,,M4.25,2,M4.25,,,out,,,out,,,out,,,out,,,out,9.78,0.02,,9.57,0.02,,9.49,0.04,,,,nodet,,,,N,N,,,2MASS J16050179-2411327,16 05 01.795,-24 11 32.74,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16050179-2411327
2MASS J16050213-2035070,,M2,22,M2,,,sat,9.12,0.02,,9.11,0.03,,9.07,0.03,,8.89,0.05,,9.25,0.02,,9.09,0.02,,9.01,0.04,,,,nodet,N,N,N,N,N,,,2MASS J16050213-2035070,16 05 02.137,-20 35 07.18,7.0,7.0,24.0,15.0,0.0,B,O,2003yCat.1289....0Z,pMS*,M2,D,,2009A&A...504..981B,2MASS J16050213-2035070
2MASS J16050231-1941554,,M4.5,2,M4.5,11.15,0.02,,11.09,0.02,,11.14,0.03,,11.08,0.03,,9.71,0.07,,11.35,0.03,,11.13,0.02,,10.92,0.13,,8.86,0.48,,N,N,Y,N,N,,debris/ev trans,2MASS J16050231-1941554,16 05 02.315,-19 41 55.44,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,Star,,,,,2MASS J16050231-1941554
2MASS J16050474-1956274,,M3,2,M3,,,out,,,out,,,out,,,out,,,out,10.02,0.03,,9.87,0.02,,9.85,0.06,,,,nodet,,,,N,N,,,2MASS J16050474-1956274,16 05 04.741,-19 56 27.44,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16050474-1956274
2MASS J16050845-2015320,,M4,22,M4,,,out,9.31,0.02,,,,out,9.28,0.03,,9.07,0.08,,9.47,0.02,,9.32,0.02,,9.15,0.04,,,,nodet,N,N,N,N,N,,,2MASS J16050845-2015320,16 05 08.467,-20 15 32.20,7.0,7.0,15.0,15.0,90.0,B,O,2003yCat.1289....0Z,pMS*,M4,D,,2009A&A...504..981B,2MASS J16050845-2015320
2MASS J16050978-1942146,,M1.75,2,M1.75,9.96,0.02,,,,out,9.92,0.03,,,,out,9.48,0.08,,10.01,0.02,,9.92,0.02,,9.76,0.05,,,,false,,,N,N,N,,,2MASS J16050978-1942146,16 05 09.789,-19 42 14.69,7.0,7.0,60.0,60.0,45.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16050978-1942146
2MASS J16051312-1944495,,M4,2,M4,10.63,0.02,,,,out,10.51,0.03,,,,out,,,out,10.72,0.03,,10.53,0.02,,10.28,0.07,,,,nodet,,,,N,N,,,2MASS J16051312-1944495,16 05 13.128,-19 44 49.60,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16051312-1944495
2MASS J16051403-2406524,,"M6,M6.5","16,2",M6.5,,,out,,,out,,,out,,,out,,,nodet,11.66,0.03,,11.36,0.03,,11.31,0.18,,,,nodet,,,,N,N,,,2MASS J16051403-2406524,16 05 14.033,-24 06 52.48,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,brownD*,M6,D,,,2MASS J16051403-2406524
